name	type	default	owner	scope	stability	read_phase	replacement	sunset	notes
FERRUM_MOE_BATCH_THRESHOLD	integer	4 for server/current default; 2 for some GGUF chat defaults	crates/ferrum-cli/src/source_resolver.rs; crates/ferrum-models/src/models/qwen3_moe.rs	runtime	default	request	runtime_config.moe.batch_threshold	none	Minimum M for Qwen3-MoE batched expert path.
FERRUM_MOE_BLOCK_SIZE	integer	auto	crates/ferrum-models/src/moe/dispatch.rs	runtime	experimental	request	runtime_config.moe.block_size	Remove after Marlin source parity/autotuning is typed	Manual vLLM-Marlin MoE block-size override.
FERRUM_MOE_BUCKETED	bool	1	crates/ferrum-models/src/models/qwen3_moe.rs	runtime	default	request	runtime_config.moe.bucketed	none	Enables bucketed Qwen3-MoE path; env 0 forces older path.
FERRUM_MOE_DEVICE_ROUTE	bool	0 unless benchmark preset enables it	crates/ferrum-models/src/models/qwen3_moe.rs; crates/ferrum-models/src/moe/dispatch.rs	runtime	experimental	request	runtime_config.moe.device_route	Promote only after typed MoE config owns graph-clean route selection	Enables device-routed MoE path used by current M3 benchmark scripts.
FERRUM_MOE_DIRECT_DISPATCH	bool	0	crates/ferrum-models/src/moe/forward.rs	runtime	deprecated	request	runtime_config.moe.direct_dispatch	Remove after legacy MoE dispatch path is retired	Forces GPU topk with worst-case GEMM grid; negative/legacy dispatch escape hatch.
FERRUM_MOE_FUSED	bool	1	crates/ferrum-kernels/src/backend/cuda/quant.rs	runtime	default	startup	runtime_config.moe.fused_cuda	none	Enables fused CUDA MoE path; env 0 falls back to multi-stream per-expert path.
FERRUM_MOE_FUSED_GATE_UP_SILU	bool	1	crates/ferrum-models/src/moe/forward.rs	runtime	default	startup	runtime_config.moe.fused_gate_up_silu	none	Enables fused gate/up/silu MoE path; env 0 forces legacy path.
FERRUM_MOE_HOST_ROUTE	bool	0	crates/ferrum-models/src/models/qwen3_moe.rs; crates/ferrum-models/src/moe/dispatch.rs	runtime	diagnostic	request	runtime_config.moe.host_route	Remove after device-route fallback is typed	Forces host-routed MoE and disables graph-clean device path.
FERRUM_MOE_HOST_TOPK	bool	0	crates/ferrum-models/src/moe/forward.rs	runtime	diagnostic	request	runtime_config.moe.host_topk	Remove after top-k routing config is typed	Forces legacy CPU softmax/topk/bucket routing.
FERRUM_MOE_LARGE_M_BLOCK_SIZE	integer	unset	crates/ferrum-models/src/moe/dispatch.rs	runtime	experimental	request	runtime_config.moe.large_m_block_size	Remove after Marlin block-size autotuning is typed	Optional larger Marlin block size for large-M device-route work.
FERRUM_MOE_LARGE_M_MIN_PAIRS	integer	1024 when large-M override is set	crates/ferrum-models/src/moe/dispatch.rs	runtime	experimental	request	runtime_config.moe.large_m_min_pairs	Remove after Marlin block-size autotuning is typed	Minimum pair count for applying large-M block-size override.
FERRUM_MOE_PREFILL_THRESHOLD	integer	32	crates/ferrum-models/src/models/qwen3_moe.rs	runtime	default	request	runtime_config.moe.prefill_threshold	none	Minimum M for Qwen3-MoE prefill batched path.
FERRUM_MOE_STREAMS	integer	4	crates/ferrum-kernels/src/backend/cuda/mod.rs; crates/ferrum-kernels/src/backend/cuda/quant.rs	runtime	default	startup	runtime_config.moe.streams	none	Number of CUDA MoE streams; 1 disables multi-stream per-expert dispatch.
FERRUM_PAGED_FLASH	bool	1	crates/ferrum-kernels/src/backend/cuda/paged.rs	runtime	default	request	runtime_config.attention.paged_flash	none	Enables CUDA paged flash attention path; env 0 opts out.
FERRUM_PAGED_FLASH_SPLITS	integer	auto	crates/ferrum-kernels/src/backend/cuda/paged.rs	runtime	experimental	request	runtime_config.attention.paged_flash_splits	Remove after launch config/autotuning is typed	Manual split count override for paged flash attention.
FERRUM_PAGED_KV	bool	0	crates/ferrum-kernels/src/backend/cuda/cuda_decode.rs	runtime	experimental	startup	runtime_config.kv.cuda_paged	Retire legacy CUDA decode env after typed KV config	Enables old CUDA decode paged-KV path.
FERRUM_PAGED_MAX_SEQS	integer	auto-sized or model default	crates/ferrum-cli/src/gpu_mem_autosize.rs; crates/ferrum-cli/src/source_resolver.rs; crates/ferrum-models/src/models/qwen3_moe.rs	runtime	default	startup	runtime_config.scheduler.paged_max_seqs	none	Maximum paged-KV sequence count used by model-side pools.
FERRUM_PREFIX_CACHE	bool	0	crates/ferrum-engine/src/continuous_engine.rs; crates/ferrum-models/src/models/qwen3_moe.rs; scripts/bench_vs_vllm.sh	runtime	experimental	request	runtime_config.cache.prefix_cache	Keep opt-in until CoW/prefix-cache correctness is fully defaulted	Enables prefix cache in engine/model paths.
FERRUM_QWEN_UNIFIED_PREFILL	bool	1	crates/ferrum-models/src/models/qwen3_moe.rs	runtime	default	request	runtime_config.qwen3.unified_prefill	none	Controls Qwen3-MoE unified prefill path; env 0 forces legacy path.
FERRUM_RANK	integer	0	crates/ferrum-kernels/src/backend/cuda/collective.rs	runtime	experimental	startup	runtime_config.tensor_parallel.rank	Retire env after TP config is typed	Tensor-parallel rank for CUDA collective setup.
FERRUM_REF_CODES	path	unset	crates/ferrum-models/src/executor/tts_executor.rs	runtime	diagnostic	startup	runtime_config.tts.reference_codes	Replace with explicit TTS request/config input	Optional reference code file for TTS/ST diagnostics.
FERRUM_REF_PCM	path	unset	crates/ferrum-models/src/executor/tts_executor.rs	runtime	diagnostic	startup	runtime_config.tts.reference_pcm	Replace with explicit TTS request/config input	Optional reference PCM file for TTS/ST diagnostics.
FERRUM_SPEC_DRAFT	path	unset	crates/ferrum-engine/src/builder.rs	runtime	experimental	startup	--spec-draft / EngineConfig.backend_options.spec_draft	Compatibility alias only; serve CLI passes typed backend options	Speculative decoding draft model path.
FERRUM_SPEC_N	integer	serve CLI spec_tokens default	crates/ferrum-engine/src/builder.rs	runtime	experimental	startup	--spec-tokens / EngineConfig.backend_options.spec_n	Compatibility alias only; serve CLI passes typed backend options	Number of speculative draft tokens.
FERRUM_SPLIT_K_ATTN	tri-state	unset auto; 1 forces on; 0 forces off	crates/ferrum-kernels/src/backend/cuda/paged.rs	runtime	experimental	request	runtime_config.attention.split_k	Remove after paged-attention launch policy is typed	Manual split-K attention override.
FERRUM_ST_TEMP	float	model default	crates/ferrum-models/src/executor/tts_executor.rs	runtime	experimental	startup	runtime_config.tts.st_temperature	Replace with explicit TTS/ST config	Speech-token temperature override.
FERRUM_TP	integer	1	crates/ferrum-cli/src/commands/bench.rs; crates/ferrum-engine/src/registry.rs; crates/ferrum-kernels/src/backend/cuda/collective.rs	runtime	experimental	startup	runtime_config.tensor_parallel.world_size	Retire env after TP CLI/config is typed	Tensor-parallel world size; Backend path rejects values greater than 1.
FERRUM_TRITON_INT4	bool	0	crates/ferrum-kernels/src/backend/cuda/quant.rs; crates/ferrum-kernels/src/backend/cuda/triton_ptx.rs	runtime	experimental	startup	runtime_config.quant.triton_int4	Remove if Triton INT4 path remains non-primary	Forces Triton-rs w4a16 INT4 path instead of Marlin.
FERRUM_TTS_MIN_FRAMES	integer	model default	crates/ferrum-models/src/executor/tts_executor.rs	runtime	experimental	startup	runtime_config.tts.min_frames	Replace with explicit TTS config	Minimum generated TTS frame count.
FERRUM_TTS_TEMP	float	model default	crates/ferrum-models/src/executor/tts_executor.rs	runtime	experimental	startup	runtime_config.tts.temperature	Replace with explicit TTS config	TTS sampling temperature override.
FERRUM_UNIFIED_GRAPH	bool	0	crates/ferrum-models/src/models/llama_family_forward_batched.rs	runtime	experimental	request	runtime_config.graph.unified	Retire env after graph config is typed	Enables unified llama-family graph path.
FERRUM_USE_CANDLE	bool	0	crates/ferrum-models/src/multimodal/qwen3_tts.rs	runtime	experimental	startup	runtime_config.tts.use_candle	Remove after TTS backend selection is typed	Forces Candle backend for Qwen3 TTS path.
FERRUM_VLLM_ATOMIC_ADD	bool	0	crates/ferrum-kernels/src/backend/cuda/quant.rs	runtime	experimental	startup	runtime_config.quant.vllm_atomic_add	Remove after vLLM Marlin launch config is typed	Manual vLLM Marlin atomic-add reduction option.
FERRUM_VLLM_DECODE_VARLEN	bool	0	crates/ferrum-models/src/models/qwen3_moe.rs	runtime	experimental	request	runtime_config.attention.vllm_decode_varlen	Remove after decode-varlen experiment is retired	Forces vLLM-layout varlen decode path.
FERRUM_VLLM_FP32_REDUCE	bool	0	crates/ferrum-kernels/src/backend/cuda/quant.rs	runtime	experimental	startup	runtime_config.quant.vllm_fp32_reduce	Remove after vLLM Marlin launch config is typed	Manual vLLM Marlin fp32-reduce option.
FERRUM_VLLM_MARLIN	bool	0	crates/ferrum-kernels/src/backend/cuda/quant.rs	runtime	experimental	startup	runtime_config.quant.vllm_marlin	Promote or remove after source parity decision	Selects vLLM Marlin GPTQ path when feature-built.
FERRUM_VLLM_MARLIN_SMS	integer	device SM count	crates/ferrum-kernels/src/backend/cuda/quant.rs	runtime	experimental	startup	runtime_config.quant.vllm_marlin_sms	Remove after launch config is typed	Manual vLLM Marlin SM-count override.
FERRUM_VLLM_MOE_BLOCKS_PER_SM	integer	auto	crates/ferrum-kernels/kernels/vllm_marlin_moe/ops.cu	runtime	diagnostic	request	runtime_config.moe.vllm_blocks_per_sm	Replace C++ getenv with typed launch parameter	Manual vLLM-Marlin MoE blocks-per-SM override.
FERRUM_VLLM_MOE_THREAD_K	integer	auto	crates/ferrum-kernels/kernels/vllm_marlin_moe/ops.cu	runtime	diagnostic	request	runtime_config.moe.vllm_thread_k	Replace C++ getenv with typed launch parameter	Manual vLLM-Marlin MoE thread-K tile override.
FERRUM_VLLM_MOE_THREAD_N	integer	auto	crates/ferrum-kernels/kernels/vllm_marlin_moe/ops.cu	runtime	diagnostic	request	runtime_config.moe.vllm_thread_n	Replace C++ getenv with typed launch parameter	Manual vLLM-Marlin MoE thread-N tile override.
FERRUM_VLLM_MOE_ZERO_WS	bool	0	crates/ferrum-models/src/moe/dispatch.rs	runtime	diagnostic	request	runtime_config.moe.vllm_zero_workspace	Remove after workspace-zeroing cleanup is finalized	Forces old vLLM-MoE workspace zeroing behavior for A/B.
